;уникальный номер;пол;age;raion;fio
12520;101351891;0;73;121;Чернышевская Диана Анатольевна
12521;101381255;0;77;58;Мравинская Альбина Александровна
12522;101376564;0;67;110;Тедеева Светлана Эдуардовна
12523;101448605;0;62;24;Пахоменко Алиса Вадимовна
12524;101367258;0;85;121;Пуштаева Анна Константиновна
12526;101421320;0;65;81;Выпова Анна Германовна
12527;101362804;0;75;100;Бабарина Яна Рамилевна
12528;101395690;0;66;89;Замалеева Диана Алексеевна
12529;101419387;0;75;24;Бикбаева Кира Станиславовна
12530;101446642;0;58;99;Крупеникова Дарья Георгиевна
12531;101398010;0;82;36;Цыганок Анастасия Константиновна
12532;101443286;0;63;61;Алимбетова Анастасия Алексеевна
12533;101361463;0;68;103;Сульдина Марина Рамилевна
12534;101374777;0;59;28;Жармухамедова Римма Ринатовна
12535;101435391;0;58;76;Твердикова Лидия Юрьевна
12536;101409432;0;69;89;Бояринцева Мария Ярославовна
12537;101348577;0;70;48;Жгулева Яна Романовна
12538;101354856;0;68;130;Келейникова Светлана Романовна
12539;101394964;0;61;52;Зезюлина Алина Альбертовна
12540;101349695;0;66;135;Теряева Анжелика Олеговна
12541;101417720;0;60;65;Осонова Елена Тимофеевна
12542;101395250;0;63;20;Будищева Маргарита Робертовна
12543;101357910;0;69;46;Крымова Жанна Павловна
12544;101422756;0;62;96;Яндарбиева Анжелика Станиславовна
12545;101382108;0;69;118;Смыкова Анастасия Яковлевна
12546;101360860;0;69;3;Тамаровская Анастасия Валентиновна
12548;101403631;0;90;117;Аюпова Юлия Дамировна
12549;101380951;0;70;9;Соктеева Диана Ивановна
12550;101349059;0;81;73;Ватенина Анна Глебовна
12551;101391244;0;68;73;Менькова Ксения Дамировна
12552;101387325;0;74;45;Ягодницына Альбина Филипповна
12553;101435981;0;65;61;Кандидова Ксения Дамировна
12556;101433870;0;60;84;Дарханова Вероника Станиславовна
12557;101397422;0;70;124;Юренина Анжелика Яновна
12558;101450657;0;65;60;Мамченкова Наталья Кирилловна
12559;101377136;0;80;137;Руминова Эльмира Леонидовна
12560;101403711;0;72;134;Позолотчикова Антонина Антоновна
12561;101362272;0;78;96;Узюкова Алиса Валерьевна
12562;101359645;0;72;67;Саруханова Гульнара Валентиновна
12563;101382311;0;70;10;Ванютина Антонина Вадимовна
12564;101380455;0;69;4;Алапина Эльмира Павловна
12565;101393027;0;65;110;Водягина Екатерина Викторовна
12567;101439808;0;62;36;Маркевич Татьяна Алексеевна
12568;101382764;0;68;132;Чалмаева Полина Геннадьевна
12569;101409270;0;63;73;Шушпанова Любовь Семеновна
12572;101413380;0;66;118;Обручникова Инна Тимофеевна
12573;101428714;0;57;124;Созонюк Вероника Михаиловна
12574;101393104;0;90;103;Юхвитова Лидия Альбертовна
12575;101423539;0;66;79;Тревогина Раиса Максимовна
12576;101430830;0;64;124;Борулина Раиса Радиковна
12577;101371501;0;60;36;Савелова Маргарита Геннадьевна
12578;101407221;0;63;32;Толмасова Надежда Филипповна
12579;101351593;0;70;6;Пустовалова Кристина Валентиновна
12580;101446828;0;75;7;Бурдинская Алла Юрьевна
12581;101423946;0;84;45;Гундорина Лидия Игоревна
12582;101411671;0;69;53;Лопарева Кира Дамировна
12583;101422341;0;58;73;Лысова Кристина Ильдаровна
12584;101380538;0;62;71;Пимшина Полина Робертовна
12586;101349267;0;65;36;Шуянова Анастасия Олеговна
12587;101426003;0;72;53;Китайчик Вероника Ильинична
12588;101406213;0;59;24;Сулиманова Надежда Константиновна
12589;101352739;0;64;61;Сенюшина Ирина Глебовна
12590;101450837;0;66;79;Слепцова Анастасия Маратовна
12591;101352499;0;65;137;Аккуратова Татьяна Константиновна
12592;101352101;0;74;36;Жеркова Альбина Денисовна
12593;101364977;0;73;25;Саитова Ксения Семеновна
12594;101445737;0;74;75;Матюнина Александра Денисовна
12595;101436889;0;62;21;Беседина Жанна Олеговна
12596;101436902;0;54;113;Аксюта Жанна Степановна
12598;101369032;0;86;105;Свистульник Светлана Артемовна
12599;101391088;0;66;122;Песова Евгения Семеновна
12600;101392606;0;74;3;Нурмакова Римма Артуровна
12602;101397663;0;60;123;Манукян Алла Евгеньевна
12603;101363617;0;84;14;Кочмазова Эльвира Олеговна
12604;101449342;0;55;0;Скрипина Антонина Радиковна
12605;101410926;0;58;103;Сарана Елизавета Максимовна
12606;101348645;0;71;22;Краснопольская Антонина Валерьевна
12607;101379770;0;61;56;Кушелева Екатерина Денисовна
12608;101440711;0;70;58;Никитенкова Антонина Григорьевна
12609;101446694;0;57;123;Штыгашева Жанна Валерьевна
12610;101354403;0;78;30;Кленова Эльмира Степановна
12611;101355013;0;79;76;Шнурова Анжелика Степановна
12612;101422022;0;74;126;Костромина Алина Тимофеевна
12613;101425406;0;63;124;Солянникова Любовь Артемовна
12614;101397710;0;78;110;Маркунина Светлана Георгиевна
12615;101401617;0;62;100;Вучетич Екатерина Викторовна
12616;101401905;0;65;28;Абакумова Мария Тимуровна
12617;101364936;0;70;77;Холостова Тамара Викторовна
12618;101450703;0;60;130;Шмырина Маргарита Радиковна
12619;101420216;0;72;117;Бабакова Наталья Юрьевна
12620;101393777;0;50;43;Цапенко Оксана Тимофеевна
12621;101407142;0;85;82;Муминова Карина Вячеславовна
12622;101362541;0;63;89;Белышева Альбина Вадимовна
12623;101406275;0;62;77;Киреевская Анжелика Павловна
12624;101370732;0;68;20;Норбекова Диана Филипповна
12625;101405885;0;68;73;Мартюшева Галина Юрьевна
12626;101395005;0;71;79;Марушевская Елена Романовна
12627;101404111;0;63;102;Красногорова Елизавета Викторовна
12628;101417434;0;61;1;Алмаметова Марина Витальевна
12629;101367940;0;72;110;Линховоина Ксения Тимуровна
12630;101357131;0;65;131;Янышева Екатерина Федоровна
12631;101367155;0;70;60;Топильская Любовь Руслановна
12632;101416154;0;72;79;Перцева Мария Константиновна
12633;101380992;0;74;73;Федюшкина Полина Глебовна
12634;101367335;0;64;125;Какурина Кира Геннадьевна
12635;101379188;0;59;132;Пузыревская Татьяна Кирилловна
12636;101406770;0;66;6;Ваупшасова Анастасия Германовна
12637;101348764;0;79;56;Ильяшева Жанна Борисовна
12638;101404225;0;66;42;Юдинева Алена Игоревна
12639;101428542;0;57;51;Лотфуллина Лилия Валентиновна
12640;101393306;0;60;86;Чепракова Диана Евгеньевна
12641;101391590;0;60;124;Лукьянюк Галина Ринатовна
12642;101351817;0;63;56;Девьятова Марина Ивановна
12643;101422093;0;58;5;Гецман Александра Кирилловна
12644;101390463;0;70;33;Чернавкина Татьяна Марселевна
12645;101444695;0;65;20;Киленова Людмила Витальевна
12646;101370625;0;64;51;Ипполитова Тамара Ринатовна
12647;101363157;0;64;121;Шумиловская Евгения Тимофеевна
12648;101443721;0;63;76;Брина Раиса Ильинична
12650;101353702;0;71;84;Кащенко Полина Тимофеевна
12651;101359911;0;65;47;Дутова Екатерина Михаиловна
12652;101420968;0;64;53;Кийкова Альбина Станиславовна
12653;101374429;0;78;114;Голдовская Кира Витальевна
12655;101405309;0;59;99;Трусимова Елизавета Геннадьевна
12656;101443227;0;64;113;Явлашкина Римма Ярославовна
12657;101432015;0;75;72;Кулиджанова Анжелика Германовна
12658;101420578;0;76;36;Пашаева Римма Степановна
12659;101422815;0;59;59;Сунгатуллина Валентина Тимуровна
12660;101427607;0;64;132;Разумовская Ольга Григорьевна
12661;101359976;0;77;67;Замчевская Алина Никитовна
12662;101405689;0;76;117;Хаина Лидия Радиковна
12663;101414769;0;67;14;Пелымцева Елизавета Валентиновна
12664;101379093;0;67;29;Ковтуненко Лариса Вадимовна
12665;101384866;0;62;12;Фурсаева Елизавета Дмитриевна
12666;101410461;0;68;61;Талибова Элина Георгиевна
12667;101349560;0;72;76;Кекина Римма Артемовна
12670;101441145;0;63;135;Густова Антонина Германовна
12671;101407983;0;69;60;Кашиева Антонина Александровна
12672;101385339;0;65;60;Стрижакова Алена Петровна
12674;101355915;0;68;76;Мартьянычева Мария Никитовна
12675;101347272;0;64;64;Полянскова Людмила Германовна
12676;101408618;0;73;122;Алюхина Людмила Кирилловна
12677;101388908;0;71;105;Лосева Алиса Вадимовна
12678;101368462;0;65;37;Волкопялова Кристина Германовна
12679;101362450;0;57;22;Бредихина Мария Витальевна
12680;101347047;0;66;83;Штырева Кира Алексеевна
12681;101382195;0;74;49;Ребрина Альбина Степановна
12682;101374033;0;69;47;Окольничникова Юлия Георгиевна
12683;101406542;0;74;98;Танасийчук Екатерина Григорьевна
12684;101434728;0;78;58;Южанинова Лариса Никитовна
12685;101362219;0;67;45;Мартынова Виктория Яновна
12686;101372972;0;77;9;Мелькова Людмила Робертовна
12687;101423526;0;70;129;Корнушкина Маргарита Борисовна
12688;101382508;0;63;8;Михалева Александра Григорьевна
12689;101446945;0;68;4;Чудинова Валентина Кирилловна
12690;101406271;0;60;51;Тимощенкова Альбина Ильинична
12692;101408845;0;70;71;Тухаринова Мария Юрьевна
12693;101349300;0;74;60;Извекова Лилия Витальевна
12694;101431042;0;65;63;Флорина Мария Петровна
12696;101395651;0;64;49;Логинова Полина Сергеевна
12697;101402283;0;68;15;Кашкина Людмила Юрьевна
12698;101434122;0;63;0;Семиглазова Олеся Андреевна
12699;101419884;0;64;106;Швырина Кира Филипповна
12700;101361756;0;62;29;Баскина Евгения Радиковна
12701;101449379;0;68;110;Бегалина Вероника Тимофеевна
12702;101438504;0;67;74;Коротун Татьяна Михаиловна
12703;101353739;0;71;102;Коховская Лидия Ярославовна
12704;101441134;0;69;134;Буцукина Лидия Олеговна
12706;101384412;0;60;96;Марковцева Светлана Ефимовна
12707;101433163;0;81;125;Разинская Кристина Даниловна
12708;101387629;0;61;14;Холдеева Ирина Никитовна
12709;101437952;0;75;74;Пугиева Элина Вадимовна
12710;101356177;0;64;45;Прокопчук Эльвира Марселевна
12711;101448491;0;61;60;Черепахина Валентина Артуровна
12712;101420265;0;62;100;Генулина Яна Аркадьевна
12714;101403844;0;72;81;Близинская Раиса Михаиловна
12715;101370465;0;69;47;Обозова Раиса Вадимовна
12718;101444982;0;63;117;Атнеева Инна Владиславовна
12720;101429664;0;67;16;Парчевская Любовь Кирилловна
12721;101390637;0;63;33;Каюкова Марина Глебовна
12722;101352194;0;70;106;Воротынцева Гульнара Ильдаровна
12723;101354463;0;88;33;Статенина Эльвира Владимировна
12724;101399876;0;65;96;Сепелева Альбина Яновна
12725;101365417;0;77;91;Быконя Раиса Борисовна
12726;101423365;0;67;51;Соло Кира Ильинична
12728;101357316;0;71;60;Хвесина Оксана Валентиновна
12729;101444958;0;57;60;Псковитинова Екатерина Рамилевна
12730;101360043;0;64;107;Башкирева Галина Алексеевна
12731;101432113;0;60;76;Чехова Яна Геннадьевна
12733;101409869;0;61;10;Хазановская Татьяна Аркадьевна
12735;101399592;0;64;46;Свободина Алена Васильевна
12736;101397958;0;71;20;Гоголевская Ольга Ильинична
12737;101433777;0;58;120;Гавердовская Александра Андреевна
12738;101435936;0;72;129;Шманина Ксения Валентиновна
12740;101443799;0;60;74;Салимжанова Вероника Рамилевна
12741;101407417;0;62;29;Наровчатова Светлана Семеновна
12742;101415857;0;58;54;Раскина Виктория Григорьевна
12744;101429962;0;60;74;Сиверкова Римма Сергеевна
12745;101379731;0;76;36;Беломытцева Галина Викторовна
12746;101397361;0;61;91;Наградова Лилия Германовна
12747;101359834;0;73;76;Каныгина Светлана Дамировна
12749;101439359;0;73;48;Богрова Диана Леонидовна
12750;101371998;0;81;132;Стомахина Римма Михаиловна
12751;101435974;0;58;70;Флоранская Оксана Рамилевна
12752;101422848;0;86;122;Шатских Алиса Константиновна
12753;101353381;0;67;110;Наумова Елизавета Андреевна
12754;101399631;0;63;123;Смердова Валентина Ивановна
12755;101372944;0;64;56;Лосихина Наталья Дмитриевна
12756;101359907;0;69;76;Фукина Марина Леонидовна
12757;101437760;0;58;124;Кучаева Эльвира Станиславовна
12758;101357772;0;68;13;Иванышкина Ксения Васильевна
12760;101366534;0;64;7;Сахненко Алина Григорьевна
12761;101425256;0;60;137;Лейман Александра Анатольевна
12763;101391211;0;62;41;Баранская Диана Аркадьевна
12764;101427269;0;75;61;Гращенкова Оксана Марселевна
12765;101380968;0;74;83;Питимирова Альбина Игоревна
12766;101425856;0;62;75;Сердюкова Наталья Георгиевна
12767;101350120;0;67;90;Сплошнова Наталья Андреевна
12768;101405186;0;79;6;Ташкинова Элина Романовна
12769;101376504;0;60;20;Сусекова Оксана Германовна
12770;101450547;0;72;61;Спирякова Карина Денисовна
12771;101417969;0;59;76;Зубаирова Ксения Ильинична
12772;101348256;0;67;53;Штырева Светлана Георгиевна
12773;101373720;0;71;13;Аринич Анна Владиславовна
12775;101372379;0;64;135;Блинова Лилия Григорьевна
12776;101380836;0;77;134;Шаманина Юлия Робертовна
12777;101371574;0;84;37;Козолина Ирина Тимуровна
12778;101392974;0;65;22;Васютчева Карина Константиновна
12779;101395253;0;81;55;Лайпанова Алина Геннадьевна
12781;101399887;0;60;122;Тимофеенко Мария Евгеньевна
12782;101380172;0;76;77;Голомидова Марина Филипповна
12783;101371086;0;76;41;Батршина Алла Валерьевна
12784;101411142;0;60;55;Радыгина Валентина Артемовна
12785;101421829;0;63;91;Костикова Алина Денисовна
12786;101421187;0;62;122;Боркова Вероника Викторовна
12787;101398807;0;63;75;Яковлева Елена Владимировна
12788;101386032;0;60;34;Свадьбина Елена Рамилевна
12789;101388307;0;63;43;Карпук Ирина Антоновна
12790;101366317;0;74;125;Запорожец Марина Антоновна
12791;101450328;0;55;40;Ракитова Анжелика Радиковна
12792;101396097;0;65;91;Хайретдинова Олеся Витальевна
12793;101377850;0;65;86;Браславская Маргарита Петровна
12794;101402630;0;64;106;Петрыкина Эльвира Филипповна
12795;101348799;0;68;13;Сакулина Евгения Станиславовна
12796;101390624;0;64;98;Стрельченко Раиса Станиславовна
12797;101376011;0;76;118;Мигуля Екатерина Вадимовна
12798;101378980;0;79;7;Пермикина Валерия Владимировна
12799;101348529;0;65;55;Вырыпаева Вероника Григорьевна
12800;101414474;0;59;77;Пикаева Елена Витальевна
12801;101415372;0;59;102;Влазнева Вероника Ярославовна
12802;101352351;0;61;116;Тенишева Ольга Ивановна
12803;101383554;0;74;81;Стрижакова Мария Васильевна
12804;101396020;0;71;53;Козленко Анастасия Николаевна
12805;101405213;0;60;15;Шклярская Эльвира Никитовна
12806;101422615;0;71;22;Цыборова Ксения Артемовна
12807;101374287;0;72;89;Махова Дарья Геннадьевна
12808;101407129;0;61;96;Шереметева Полина Маратовна
12809;101382748;0;79;90;Сегалович Алиса Ильинична
12810;101353194;0;61;2;Талдыкина Алина Леонидовна
12811;101366110;0;67;0;Рожновская Людмила Евгеньевна
12812;101357293;0;63;109;Малиновская Ирина Антоновна
12814;101393548;0;65;135;Мазунова Татьяна Михаиловна
12815;101393399;0;59;12;Щелокова Лилия Витальевна
12816;101419723;0;65;51;Тяглова Карина Владиславовна
12817;101385270;0;60;96;Марушка Татьяна Степановна
12818;101390767;0;62;75;Трифенина Кристина Александровна
12819;101440688;0;62;12;Левухина Кира Марселевна
12820;101376290;0;67;11;Добромыслова Наталья Евгеньевна
12821;101393309;0;63;100;Хомишина Оксана Германовна
12822;101433772;0;57;50;Шевардина Раиса Тимофеевна
12823;101362271;0;61;58;Минюк Тамара Аркадьевна
12824;101434820;0;73;79;Лемешова Оксана Германовна
12825;101394500;0;89;66;Тыронова Марина Валерьевна
12826;101435472;0;67;50;Тохтахунова Лилия Дамировна
12827;101448905;0;74;81;Сурова Мария Глебовна
12828;101363671;0;70;131;Деловая Тамара Германовна
12829;101356514;0;81;13;Туманова Любовь Леонидовна
12833;101354620;0;72;89;Амвросьева Мария Ильинична
12834;101429199;0;68;67;Фрадкова Гульнара Руслановна
12835;101380723;0;62;0;Бастрикова Валентина Германовна
12836;101393899;0;70;25;Рожок Алиса Ярославовна
12837;101421339;0;60;110;Багарякова Алена Сергеевна
12838;101409905;0;68;122;Быстроногова Светлана Рамилевна
12839;101372147;0;78;39;Кунафина Анжелика Леонидовна
12840;101392037;0;67;92;Рыжкина Надежда Михаиловна
12841;101347167;0;84;121;Упина Инна Тимофеевна
12842;101440225;0;64;34;Хаметшина Антонина Александровна
12843;101399994;0;75;25;Румянцева Диана Сергеевна
12844;101409638;0;58;61;Синцерова Вероника Ильдаровна
12845;101363329;0;81;59;Скорописчикова Кира Юрьевна
12846;101415327;0;65;108;Арькова Ирина Тимофеевна
12847;101397670;0;66;59;Носачева Альбина Владиславовна
12848;101420814;0;64;121;Мищенко Ангелина Владимировна
12849;101438742;0;56;60;Макушинская Наталья Михаиловна
12850;101385233;0;64;110;Фричинская Эльвира Геннадьевна
12852;101346558;0;69;47;Назырова Жанна Ринатовна
12853;101446569;0;56;22;Русина Кира Денисовна
12854;101430694;0;58;88;Славинская Анастасия Валентиновна
12855;101448697;0;74;116;Акалелова Светлана Максимовна
12856;101405856;0;68;4;Танкова Анастасия Аркадьевна
12857;101355207;0;68;35;Купец Римма Михаиловна
12858;101383932;0;68;108;Филюкова Раиса Ивановна
12859;101423315;0;62;122;Карлина Маргарита Юрьевна
12860;101386900;0;67;96;Могилевцева Маргарита Филипповна
12861;101445010;0;75;131;Кирюшина Юлия Анатольевна
12862;101418317;0;76;101;Оконничникова Олеся Михаиловна
12863;101355670;0;72;101;Бердочкина Алина Кирилловна
12865;101375990;0;68;73;Любушина Светлана Филипповна
12866;101374402;0;67;7;Кабулова Александра Степановна
12867;101425758;0;60;61;Колыганова Елизавета Глебовна
12868;101350486;0;74;115;Валиева Яна Степановна
12869;101388161;0;64;72;Тарасенкова Лариса Сергеевна
12870;101391083;0;64;112;Тевлина Валерия Павловна
12871;101405246;0;81;61;Бовыкина Элина Анатольевна
12872;101348929;0;87;73;Лягина Олеся Валентиновна
12873;101348746;0;67;96;Серкова Маргарита Викторовна
12874;101431146;0;77;49;Жигина Галина Григорьевна
12875;101419819;0;61;22;Ханмагомедова Ангелина Сергеевна
12876;101436423;0;72;76;Хромцова Лариса Радиковна
12877;101353914;0;66;11;Глазычева Валерия Олеговна
12878;101449221;0;67;22;Ермолаева Ольга Витальевна
12879;101407707;0;74;89;Бычатина Лариса Андреевна
12880;101428291;0;67;70;Тютюнник Алина Александровна
12882;101348167;0;70;22;Бучнева Олеся Даниловна
12884;101415901;0;68;20;Смышляева Эльвира Геннадьевна
12885;101419844;0;65;91;Савицкая Тамара Константиновна
12886;101347514;0;53;133;Посаженникова Виктория Антоновна
12887;101361992;0;73;44;Семенченко Кира Рамилевна
12888;101439457;0;61;132;Довгалюк Антонина Яновна
12889;101367987;0;76;13;Гранькина Елена Владимировна
12890;101404047;0;63;8;Шепелева Людмила Ефимовна
12891;101424043;0;69;30;Стебаева Наталья Валентиновна
12892;101392232;0;78;116;Николахина Олеся Александровна
12893;101387080;0;75;127;Пекарская Маргарита Эдуардовна
12895;101374400;0;69;98;Липина Юлия Валентиновна
12896;101370835;0;64;73;Чудихина Кира Рамилевна
12897;101360056;0;79;86;Дзарасова Антонина Максимовна
12898;101376741;0;61;134;Баушева Яна Даниловна
12899;101413980;0;61;91;Уманская Марина Павловна
12900;101411529;0;75;15;Шиндина Виктория Яновна
12901;101385265;0;81;96;Полусветова Татьяна Ильинична
12902;101431774;0;77;110;Шарикова Светлана Семеновна
12903;101362670;0;69;77;Преминина Кира Радиковна
12904;101403978;0;58;124;Верховитинова Мария Эдуардовна
12905;101349341;0;65;73;Янчик Дарья Петровна
12906;101389739;0;60;36;Болховитинова Лидия Филипповна
12907;101417873;0;64;58;Сагитова Дарья Альбертовна
12908;101352821;0;72;47;Галанкина Эльвира Кирилловна
12909;101376759;0;79;123;Персианова Алина Радиковна
12910;101375287;0;65;80;Жуйкова Эльвира Леонидовна
12911;101400902;0;77;5;Насруллаева Татьяна Владиславовна
12913;101356696;0;72;73;Каллистратова Александра Вячеславовна
12914;101406418;0;60;12;Ослебятева Светлана Владиславовна
12916;101364854;0;60;56;Абдулкадырова Евгения Игоревна
12917;101409594;0;72;58;Криулина Тамара Альбертовна
12918;101449043;0;63;73;Цыпельникова Марина Кирилловна
12919;101351745;0;65;45;Ватагина Жанна Алексеевна
12920;101428884;0;62;64;Телешева Ангелина Викторовна
12921;101380713;0;61;88;Площанская Оксана Алексеевна
12923;101437511;0;52;127;Блинникова Алиса Аркадьевна
12924;101354613;0;67;46;Рыцарева Юлия Петровна
12926;101400993;0;67;22;Богова Римма Артемовна
12927;101438254;0;68;131;Гладильщикова Елизавета Даниловна
12928;101391143;0;59;120;Саганова Ирина Дмитриевна
12929;101369869;0;59;37;Фрадина Элина Ильинична
12930;101441844;0;59;50;Пальчикова Анна Борисовна
12931;101439537;0;71;73;Орлеанская Гульнара Ринатовна
12933;101368269;0;76;101;Ременникова Маргарита Дамировна
12934;101445347;0;64;73;Абышева Раиса Максимовна
12935;101372098;0;65;73;Прадедова Любовь Александровна
12936;101439183;0;68;93;Россинская Римма Артемовна
12937;101404358;0;74;76;Зенькова Эльвира Станиславовна
12938;101348031;0;62;47;Толупьева Людмила Николаевна
12939;101398843;0;64;83;Липина Яна Геннадьевна
12941;101424680;0;58;84;Куантаева Лариса Юрьевна
12942;101437941;0;72;73;Заболотная Яна Ильдаровна
12943;101347667;0;65;130;Модникова Оксана Ильинична
12944;101439243;0;72;117;Папкова Алена Максимовна
12945;101387503;0;73;76;Адибекова Елена Семеновна
12946;101437126;0;66;64;Палаткина Кристина Николаевна
12947;101358913;0;63;106;Коржева Яна Валерьевна
12948;101425044;0;55;3;Крюк Дарья Станиславовна
12949;101403698;0;68;83;Максименко Вероника Ефимовна
12950;101354664;0;71;18;Спрыгина Инна Вячеславовна
12952;101408047;0;62;69;Сатанина Татьяна Григорьевна
12953;101408662;0;64;51;Путятина Виктория Михаиловна
12954;101402171;0;66;30;Сопликова Валентина Георгиевна
12955;101394547;0;81;33;Силютина Альбина Марселевна
12956;101426878;0;68;49;Голосова Ксения Васильевна
12957;101428433;0;68;56;Жемчужникова Алла Георгиевна
12958;101409650;0;81;32;Ивушкина Кристина Аркадьевна
12959;101416162;0;62;53;Парменьева Екатерина Егоровна
12961;101366340;0;82;96;Шопина Тамара Максимовна
12962;101400286;0;87;73;Карпичева Оксана Ильинична
12963;101445944;0;74;5;Толкунова Анастасия Аркадьевна
12964;101401235;0;75;46;Ростова Алена Альбертовна
12965;101367556;0;64;8;Дулебова Валерия Андреевна
12966;101403353;0;62;73;Лесковец Екатерина Владиславовна
12967;101409781;0;60;73;Сапожкова Елизавета Никитовна
12968;101429095;0;59;81;Фофанова Анжелика Валерьевна
12969;101390540;0;73;106;Собакарева Олеся Степановна
12970;101410732;0;77;87;Гостева Марина Георгиевна
12974;101387483;0;69;90;Мильчакова Римма Яковлевна
12975;101403651;0;77;76;Стебунова Жанна Георгиевна
12976;101355178;0;67;94;Уляхина Кристина Владиславовна
12977;101389994;0;66;77;Семичова Инна Маратовна
12978;101360236;0;73;81;Оржаникова Алена Вячеславовна
12980;101396450;0;60;136;Урусевская Лилия Ивановна
12981;101376009;0;81;113;Збарская Наталья Владимировна
12984;101425804;0;53;125;Мединская Александра Владимировна
12985;101363483;0;70;7;Тюренкова Инна Владиславовна
12986;101361689;0;80;13;Забоева Светлана Романовна
12987;101445485;0;92;132;Пикова Оксана Алексеевна
12988;101359994;0;76;61;Каменская Диана Владиславовна
12990;101366267;0;72;76;Антимонова Лариса Радиковна
12992;101380539;0;64;20;Житник Маргарита Марселевна
12993;101419561;0;57;4;Ландышева Ксения Дамировна
12994;101357553;0;86;4;Девушкина Кристина Марселевна
12995;101376452;0;76;33;Петникова Полина Маратовна
12996;101423774;0;67;54;Габисова Диана Степановна
12997;101447736;0;62;71;Санина Римма Семеновна
12998;101420076;0;63;132;Хрящева Ксения Рамилевна
12999;101362010;0;72;47;Евсеева Людмила Кирилловна
13000;101365895;0;71;3;Дворцова Валентина Ильдаровна
13001;101380329;0;77;7;Омельянова Алиса Артемовна
13002;101431464;0;68;84;Батянина Галина Тимофеевна
13003;101444947;0;61;87;Скалозубова Карина Марселевна
13004;101398805;0;60;77;Кормушина Ольга Маратовна
13005;101416826;0;63;105;Кислухина Ксения Петровна
13006;101403513;0;70;80;Тучина Эльвира Руслановна
13007;101415204;0;59;60;Пельменева Карина Станиславовна
13008;101414313;0;59;49;Костоусова Эльмира Руслановна
13009;101403492;0;76;110;Юленкова Яна Максимовна
13010;101356319;0;77;22;Ларихина Яна Вадимовна
13011;101447858;0;63;30;Блажкова Диана Романовна
13012;101386915;0;72;66;Безлейкина Валерия Станиславовна
13013;101423972;0;78;42;Крамер Валерия Радиковна
13014;101354285;0;72;117;Коротич Элина Руслановна
13015;101378245;0;66;32;Мошникова Валерия Тимофеевна
13016;101377546;0;76;20;Губайдуллина Мария Георгиевна
13017;101385631;0;62;117;Атемова Марина Георгиевна
13018;101363395;0;76;35;Свинцова Ольга Александровна
13019;101367996;0;63;0;Токуева Марина Владимировна
13020;101407278;0;81;30;Пестерева Екатерина Игоревна
13021;101434455;0;74;124;Охотина Людмила Кирилловна
13022;101405179;0;54;22;Гартман Эльмира Константиновна
13023;101448745;0;68;77;Брыскова Яна Антоновна
13024;101417473;0;70;34;Курилова Евгения Радиковна
13025;101416068;0;58;64;Дуленкова Алла Маратовна
13026;101357021;0;74;70;Савлохова Римма Робертовна
13028;101417040;0;63;137;Ергожина Олеся Никитовна
13030;101397852;0;60;32;Голыгина Лариса Радиковна
13031;101399109;0;73;30;Хомятова Алина Георгиевна
13032;101447647;0;63;108;Мариковская Галина Игоревна
13033;101401626;0;81;84;Тимчинко Любовь Дамировна
13034;101364905;0;91;102;Кагарманова Анжелика Ефимовна
13035;101368843;0;81;47;Волчкова Любовь Георгиевна
13036;101436109;0;61;64;Редкина Евгения Германовна
13037;101408538;0;62;10;Бормотова Анжелика Игоревна
13038;101443814;0;69;36;Собинкина Ирина Филипповна
13039;101390992;0;58;125;Евтищева Олеся Яковлевна
13040;101403701;0;72;108;Струнина Анастасия Маратовна
13041;101356938;0;70;126;Канеева Кира Георгиевна
13042;101346635;0;79;47;Акулышина Анжелика Марселевна
13043;101356056;0;76;15;Уманцева Антонина Денисовна
13044;101359146;0;75;124;Кознева Анна Ильинична
13046;101429863;0;62;61;Побежимова Мария Ефимовна
13047;101398190;0;65;12;Белоруссова Алина Владиславовна
13048;101421919;0;67;2;Помыкалова Лилия Николаевна
13050;101421812;0;75;113;Зеркина Элина Анатольевна
13051;101393795;0;60;15;Ледкова Алла Ярославовна
13052;101419148;0;60;21;Бударина Диана Сергеевна
13053;101363553;0;70;49;Соколянская Элина Григорьевна
13054;101417727;0;57;86;Хлобыстова Евгения Аркадьевна
13055;101404071;0;75;37;Клевакина Римма Дмитриевна
13056;101376252;0;65;83;Калабухова Алла Антоновна
13057;101446657;0;57;61;Верстова Анастасия Ринатовна
13058;101378886;0;76;98;Корганова Кира Аркадьевна
13059;101356202;0;73;63;Абугова Полина Рамилевна
13060;101373962;0;70;71;Ганова Юлия Владимировна
13061;101388118;0;59;76;Киричева Эльмира Эдуардовна
13062;101386906;0;72;110;Бояринцева Элина Тимофеевна
13064;101385954;0;72;34;Яремчук Екатерина Яновна
13065;101423175;0;57;73;Санникова Ангелина Артемовна
13066;101364051;0;75;87;Чуешова Людмила Павловна
13067;101412301;0;71;76;Тафаева Вероника Яковлевна
13068;101381714;0;68;100;Ильяшова Ангелина Дамировна
13069;101365539;0;72;137;Щербачева Дарья Степановна
13070;101371342;0;60;120;Бикчентаева Лидия Кирилловна
13071;101387502;0;76;53;Бодренкова Раиса Рамилевна
13072;101363325;0;68;59;Черномашенцева Валерия Константиновна
13073;101356167;0;66;131;Балясникова Людмила Валентиновна
13074;101411354;0;69;75;Шехтман Алена Борисовна
